tau,ISR
3.0120481927710614,0.008474576271186418
93.37349397590359,0.008474576271186418
183.73493975903605,0.008474576271186418
213.85542168674695,0.03389830508474567
225.90361445783125,0.10169491525423702
233.43373493975892,0.18644067796610164
237.95180722891556,0.2923728813559321
243.97590361445774,0.5211864406779663
254.5180722891566,0.9576271186440679
260.5421686746987,1.3559322033898304
265.06024096385534,1.8389830508474574
268.0722891566264,2.139830508474576
274.0963855421686,2.6101694915254234
275.60240963855415,2.694915254237288
281.62650602409633,2.8050847457627115
287.6506024096384,2.694915254237288
290.6626506024096,2.6059322033898304
295.18072289156623,2.139830508474576
299.69879518072287,1.8474576271186438
304.2168674698795,1.3474576271186438
310.2409638554217,0.9618644067796609
314.7590361445783,0.597457627118644
328.3132530120481,0.20338983050847448
334.3373493975903,0.10593220338983045
343.37349397590356,0.029661016949152685
353.91566265060237,0.004237288135593431
365.9638554216866,0.03389830508474567
376.50602409638543,0.11440677966101687
384.03614457831316,0.2076271186440679
411.14457831325285,0.7330508474576272
418.6746987951807,0.8686440677966099
426.2048192771083,0.9872881355932206
435.24096385542157,1.0211864406779658
442.7710843373494,0.9830508474576272
450.301204819277,0.8728813559322033
457.83132530120474,0.7457627118644066
466.867469879518,0.5381355932203387
477.4096385542168,0.3347457627118642
490.9638554216866,0.18220338983050866
503.012048192771,0.0932203389830506
512.0481927710842,0.038135593220339103
524.0963855421686,0.008474576271186418
537.6506024096385,0
555.7228915662649,0.016949152542372836
570.7831325301204,0.04661016949152508
590.3614457831325,0.11440677966101687
611.44578313253,0.20338983050847448
631.0240963855421,0.27542372881355925
653.6144578313252,0.3220338983050848
680.7228915662649,0.27966101694915224
698.7951807228915,0.21610169491525433
721.3855421686745,0.1313559322033897
748.4939759036142,0.05932203389830537
783.1325301204819,0.016949152542372836
813.2530120481925,0.004237288135593431
825.301204819277,0
852.4096385542167,0
893.0722891566264,0.01271186440677985
945.7831325301203,0.03389830508474567
987.9518072289155,0.05084745762711851
1018.0722891566264,0.05084745762711851
1046.6867469879514,0.05084745762711851
1079.8192771084334,0.04661016949152508
1121.9879518072285,0.038135593220339103
1182.2289156626503,0.029661016949152685
1225.903614457831,0.016949152542372836
1271.0843373493972,0.01271186440677985
1340.3614457831322,0.008474576271186418
1448.7951807228912,0.004237288135593431
1496.9879518072285,0.008474576271186418
